sign	grp	nr	ref	name	comment	author	date	x
K-RUB	K	3600		Rubiu, Vittorio		ph	2008.11.28	
Xc-MAG	Xc	4056		Magliaso		gw	2008.11.28	
K-SCH	K	3490		Schiller, Carl		ph	2008.11.28	
Zu-ROC	Zu	906		Rocca, Angelo		ph	2008.11.28	
K-GIU	K	1478		Giudici, Paolo		ph	2008.11.28	
Wm-ODE	Wm	4820		Odenbach, Marcel		ph	2008.11.28	
Cm-SAN	Cm	1670		Santoro, Suzanne		gw	2008.12.01	
Wa-QUA	Wa	610		Quast, Ferdinand von		gw	2008.12.01	
KatM-FRA	KatM	6940		Frascati		gw	2008.12.02	
KatM-ROC	KatM	904		Rocca di Papa		gw	2008.12.02	
KatP-SGA	KatP	6470		Sgarbi, Vittorio		gw	2008.12.02	
Ca-MUS	Ca	90		Mussi, Luigi		gw	2008.12.02	
Cm-BIZ	Cm	9656		Bizzarri, Sergio		gw	2008.12.04	
KatE-ANZ	KatE	3484		Anzio		gw	2008.12.05	
De	De	385		Rienzo, Cola di	siehe Cola di Rienzo	gw	2008.12.09	
K-FAR	K	3330		Faries, Molly		ph	2008.12.10	
Wm-VOS	Wm	7430		Vostell, Wolf		gw	2008.12.11	
Cm-MAR	Cm	1036		Marcucci, Bruno		gw	2008.12.11	
Cm-CAR	Cm	373		Cardazzo, Carlo		ph	2008.12.11	
Cm-AME	Cm	4868		Amendola, Aurelio		ph	2008.12.11	
KatE-SAI	KatE	4949		Saint-Antoine (Isere)		ph	2008.12.11	
Hh	Hh	8036		Albert <von Chiatino>	von Colle Val d'Elsa	gw	2008.12.12	
Wm-LER	Wm	5664		Leroy, Eugene		gw	2008.12.12	
KatE-MAL	KatE	1960		Maleo		gw	2008.12.15	
Cm-GAR	Cm	5356		Garofalo, Francesco		gw	2008.12.15	
K-ZAN	K	907		Zancani Montuoro, Paola		gw	2008.12.15	
Ca-MAN	Ca	100		Mancini, Bartolomeo		ph	2008.12.16	
Wm-SPL	Wm	2076		Splettstoesser, Peter-Joerg		gw	2008.12.17	
K-VEN	K	7753		Venturini, Lisa		ph	2008.12.17	
Yu-BAL	Yu	7504		Baltimore		gw	2008.12.17	
K-KAH	K	320		Kahane, Henry		gw	2008.12.19	
E-OLG	E	62		Olgiate Comasco		ph	2009.01.05	
Cm-STE	Cm	1125		Stella, Gaetano		ph	2009.01.07	
KatV-DER	KatV	1880		Derek Johns Ltd.		gw	2009.01.07	
Xx-ORC	Xx	3092		Orchomenos		gw	2009.01.07	
K-HOL	K	4070		Hollander, Robert		ph	2009.01.08	
Wa-DEL	Wa	1148		Delcour, Jean	= Del Cour, Jean	gw	2009.01.09	
KatP-HEA	KatP	6770		Hearst, William Randolph		gw	2009.01.12	
KatE-GRE	KatE	1956		Greenwich	London-Greenwich	gw	2009.01.12	
K-CRA	K	5234		Cranz, Ferdinand Edward		gw	2009.01.12	
Ca-VEN	Ca	3360		Venini, Antonio		ph	2009.01.14	
K-GUE	K	5035		Guenther, Hubertus		ph	2009.01.19	
KatV-STE	KatV	3466		Stein, Adolphe		gw	2009.01.19	
K-CLA	K	3540		Clair, Jean		gw	2009.01.20	
Ca-BER	Ca	3180		Bertos, Francesco		ph	2009.01.20	
Wa-KUM	Wa	4474		Kummer, Carl Robert		gw	2009.01.22	
Cm-PAR	Cm	150		Pardo, Amelia		gw	2009.01.23	
K-REB	K	6400		Reboiras, Fernando Dominguez		ph	2009.01.26	
