id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle
BV013223872,ger,,Himmelfahrt,,Petra Giloy-Hirtz und Peter B. Steiner,Ostfildern-Ruit,Hatje Cantz,2000,"Giloy-Hirtz, Petra|Steiner, Peter B.",Himmelfahrt|Himmelfahrt Jesu,s|u,BV046045555,Diözesanmuseum <Freising>: Kataloge und Schriften
BV013223903,eng,,Medical informatics and the internet in medicine,,,London,Informa Healthcare,1999-2007,,,,,
BV013223950,eng,,Physics and chemistry of the earth,,,Amsterdam [u.a.],Elsevier Science,1999-2001,,Geophysik,s,,
BV013223976,eng,,Progress in nuclear magnetic resonance spectroscopy,,,Amsterdam [u.a.],Elsevier Science,1966-,,NMR-Spektroskopie,s,,
BV013223994,eng,,Solid state electronics,,,Oxford [u.a.],"Pergamon, Elsevier Science",1960-,,Festkörperelektronik,s,,
BV013224049,eng,,Natural language & linguistic theory,,,Dordrecht [u.a.],Springer Science + Business Media B.V.,1983-,,,,,
BV013224056,eng,,Solid state ionics,,,Amsterdam [u.a.],Elsevier Science,1980-,,Ionentransport,s,,
BV013224063,ita,,Intorno a Poussin,,a cura di Olivier Bonfait ...,Roma,DeLuca,2000,"Bonfait, Olivier","Poussin, Nicolas|Rom|Malerei",p|g|s,,
BV013224118,eng,,Spectrochimica acta,,,Amsterdam [u.a.],Elsevier Science,1967-,,Spektralanalyse,s,,
BV013224277,ger,,Renato Guttuso,,Einleitung von Richard Hiepe,Dresden,Verl. der Kunst,1961,"Hiepe, Richard|Guttuso, Renato",,,BV001889806,Künstler der Gegenwart
BV013224287,eng,,Parallel computing,,,Amsterdam [u.a.],"North-Holland, Elsevier Science",1984-,,Parallelverarbeitung,s,,
BV013224298,eng,,Pattern analysis and applications,,,London ; Berlin [u.a.],Springer,1998-,,Musteranalyse,s,,
BV013224313,eng,,Brain topography,,,Dordrecht [u.a.],Springer Science + Business Media B.V,1988-,,,,,
BV013224359,eng,,Photonic network communications,,,Dordrecht [u.a.],Springer Science + Business Media B.V,1999-,,Netzwerk,s,,
BV013224439,eng,,Presence,,,"Cambridge, Mass.",MIT Press,1992-,,Robotik,s,,
BV013224459,ger,"Hoeges, Dirk",Niccolò Machiavelli,,Dirk Hoeges,München,Beck,2000,,"Machiavelli, Niccolò|Machiavelli, Niccolò",p|u,,
BV013224505,eng,,Program,,ASLIB,Bingley,Emerald,[1966-2017],,Bibliothek,s,,
BV013224577,eng,,Requirements engineering,,,London,Springer,1996-,,Requirements engineering,s,,
BV013224592,eng,"Du Prey, Pierre de La Ruffinière",Hawksmoor's London churches,,Pierre De La Ruffinière Du Prey,Chicago [u.a.],Univ. of Chicago Press,2000,"Hawksmoor, Nicholas","Hawksmoor, Nicholas|London|Kirchenbau",p|g|s,,
