lev;sys;numbis;text;vw
4;Ah xxx;yyy;............Enzyklopädien und Sachlexika;
5;Ah 50;;...............Geographie, Geologie, Astronomie, zusammenfassend;
5;Ah 60;;...............Geographie;
5;Ah 70;;...............Geologie;
5;Ah 80;;...............Astronomie;
4;Ah xxx;yyy;............Ortsnamen Verzeichnis;
5;Ah 100;;...............interkontinental;
5;Ah 105;;...............Europa allgemein;
5;Ah 110;;...............Italien, gesamt;
5;Ah 115;;...............idem (= Italien), einzelne Landschaften;
5;Ah 120;128;...............mitteleuropäische Länder;
5;Ah 131;137;...............westeuropäische Länder;
5;Ah 140;;...............südeuropäische Länder;
5;Ah 143;;...............nordeuropäische Länder;
5;Ah 146;;...............osteuropäische Länder;
5;Ah 149;;...............Balkan-Länder;
5;Ah 160;;...............außereuropäische Kontinente allgemein;
5;Ah 163;;...............Asien allgemein;
5;Ah 166;;...............Vorderasien;
5;Ah 169;;...............Ostasien;
5;Ah 172;;...............Afrika;
5;Ah 175;184;...............Amerika;
5;Ah 187;;...............Australien und Südsee (Ozeanien);
4;Ah xxx;yyy;............Geographische Atlanten;
5;Ah 200;;...............interkontinental;
5;Ah 205;;...............Europa allgemein;
5;Ah 210;;...............Italien;
5;Ah 220;228;...............mitteleuropäische Länder;
5;Ah 231;237;...............westeuropäische Länder;
5;Ah 240;;...............südeuropäische Länder;
5;Ah 243;;...............nordeuropäische Länder;
5;Ah 246;;...............osteuropäische Länder;
5;Ah 249;;...............Balkan-Länder;
5;Ah 260;;...............außereuropäische Kontinente allgemein;
5;Ah 263;;...............Asien allgemein;
5;Ah 266;;...............Vorderasien;
5;Ah 269;;...............Ostasien;
5;Ah 272;;...............Afrika;
5;Ah 275;284;...............Amerika;
5;Ah 287;;...............Australien und Südsee (Ozeanien);
4;Ah xxx;yyy;............Bibliographien;
5;Ah 300;;...............Geographie, Geologie, Astronomie, zusammenfassend;
5;Ah 320;;...............Geographie;
5;Ah 340;;...............Geologie;
5;Ah 360;;...............Astronomie;
4;Ah xxx;yyy;............Gelehrtenlexika und Adressbücher;
5;Ah 400;;...............Geographie, Geologie, Astronomie, zusammenfassend;
5;Ah 420;;...............Geographie;
5;Ah 440;;...............Geologie;
5;Ah 460;;...............Astronomie;
4;Ah 500;;............Sonstiges;
2;Ai ;;......Politische Geschichte;
3;Ai 50;;.........Enzyklopädien und Sachlexika;
4;Ai xxx;yyy;............Bibliographien;
5;Ai 100;;...............Geschichte allgemein;
5;Ai 110;;...............Italien;
5;Ai 120;128;...............mitteleuropäische Länder;
5;Ai 131;137;...............westeuropäische Länder;
5;Ai 140;;...............südeuropäische Länder;
5;Ai 143;;...............nordeuropäische Länder;
5;Ai 146;;...............osteuropäische Länder;
5;Ai 149;;...............Balkan-Länder;
5;Ai 160;;...............außereuropäische Kontinente allgemein;
5;Ai 163;;...............Asien allgemein;
5;Ai 166;;...............Vorderasien;
5;Ai 169;;...............Ostasien;
5;Ai 172;;...............Afrika;
5;Ai 175;184;...............Amerika;
5;Ai 187;;...............Australien und Südsee (Ozeanien);
4;Ai 200;;............Gelehrtenlexika und Adreßbücher;
4;Ai 500;;............Sonstiges;
2;Ak ;;......Kirchengeschichte;
4;Ak xxx;yyy;............Enzyklopädien und Sachlexika;
5;Ak 50;;...............Kirchengeschichte allgemein;
5;Ak 60;;...............Papstgeschichte;
5;Ak 70;;...............Ordensgeschichte;
4;Ak 85;;............Klerus-Biographien und Verzeichnisse;
4;Ak xxx;yyy;............Bibliographien;
5;Ak 100;;...............Kirchengeschichte allgemein;
5;Ak 120;;...............Papstgeschichte;
5;Ak 140;;...............Ordensgeschichte;
5;Ak 200;;...............Gelehrtenlexika und Adreßbücher;
4;Ak 500;;............Sonstiges;
2;Al ;;......Kultur-, Sozial- und Sittengeschichte, Volks- und Völkerkunde;
3;Al 50;;.........Enzyklopädien und Sachlexika;
3;Al 100;;.........Bibliographien;
3;Al 200;;.........Gelehrtenlexika und Adreßbücher;
3;Al 500;;.........Sonstiges;
2;Am ;;......Musik-, Tanz- und Theatergeschichte;
4;Am xxx;yyy;............Enzyklopädien und Sachlexika;
5;Am 50;;...............Musik-, Tanz- und Theatergeschichte zusammenfassend;
5;Am 60;;...............Musikgeschichte;
5;Am 70;;...............Tanz- und Ballettgeschichte;
5;Am 80;;...............Theatergeschichte;
4;Am xxx;yyy;............Bibliographien;
5;Am 100;;...............Musik-, Tanz- und Theatergeschichte zusammenfassend;
5;Am 120;;...............Musikgeschichte;
5;Am 140;;...............Tanz- und Ballettgeschichte;
5;Am 160;;...............Theatergeschichte;
4;Am xxx;yyy;............Gelehrtenlexika und Adreßbücher;
5;Am 200;;...............Musik-, Tanz- und Theatergeschichte zusammenfassend;
5;Am 220;;...............Musikgeschichte;
5;Am 240;;...............Tanz- und Ballettgeschichte;
5;Am 260;;...............Theatergeschichte;
4;Am 500;;............Sonstiges;
2;An ;;......Literaturgeschichte;
4;An xxx;yyy;............Enzyklopädien und Sachlexika (auch Roman- und Opernführer);
5;An 50;;...............international;
5;An 60;;...............Italien;
5;An 70;;...............Deutschland;
5;An 80;;...............sonstige Länder;
4;An xxx;yyy;............Bibliographien;
5;An 100;;...............international;
5;An 120;;...............Italien;
5;An 140;;...............Deutschland;
5;An 160;;...............sonstige Länder;
4;An xxx;yyy;............Gelehrtenlexika und Adreßbücher;
5;An 200;;...............international;
5;An 220;;...............Italien;
5;An 240;;...............Deutschland;
5;An 260;;...............sonstige Länder;
4;An xxx;yyy;............Dichterlexika;
5;An 300;;...............international;
5;An 320;;...............Italien;
5;An 340;;...............Deutschland;
5;An 360;;...............sonstige Länder;
4;An 500;;............Sonstiges;
2;Aq ;;......Mythologie;
4;Aq xxx;yyy;............Enzyklopädien und Sachlexika;
5;Aq 50;;...............Mythologie allgemein;
5;Aq 55;;...............Nachleben der antiken Mythen;
5;Aq 60;;...............griechisch-römische Mythologie;
5;Aq 65;;...............nordalpine Mythologie;
5;Aq 70;;...............außereuropäische Mythologien allgemein;
5;Aq 73;;...............ägyptische Mythologie;
5;Aq 76;;...............asiatische Mythologien;
5;Aq 79;;...............amerikanische Mythologien;
5;Aq 85;;...............sonstige Mythologien;
4;Aq xxx;yyy;............Bibliographien;
5;Aq 100;;...............Mythologie allgemein;
5;Aq 110;;...............Nachleben der antiken Mythen;
5;Aq 120;;...............griechisch-römische Mythologie;
5;Aq 130;;...............nordalpine Mythologie;
5;Aq 140;;...............außereuropäische Mythologien allgemein;
5;Aq 150;;...............ägyptische Mythologie;
5;Aq 160;;...............asiatische Mythologien;
5;Aq 170;;...............amerikanische Mythologien;
5;Aq 180;;...............sonstige Mythologien;
4;Aq 200;;............Gelehrtenlexika (Mythologen) und Adreßbücher;
4;Aq xxx;yyy;............Mythographen-Lexika;
5;Aq 300;;...............Mythologie allgemein;
5;Aq 320;;...............Nachleben der antiken Mythen;
5;Aq 340;;...............griechisch-römische Mythologie;
5;Aq 360;;...............nordalpine Mythologie;
5;Aq 380;;...............außereuropäische Mythologien;
4;Aq 500;;............Sonstiges;
2;Ar ;;......Übrige Geistesgeschichte (ohne Theologie);
4;Ar xxx;yyy;............Geistesgeschichte allgemein;
5;Ar 50;;...............Enzyklopädien und Sachlexika;
5;Ar 60;;...............Bibliographien;
5;Ar 70;;...............Gelehrtenlexika und Adreßbücher;
5;Ar 80;;...............Sonstiges;
4;Ar xxx;yyy;............Philosophie;
5;Ar 100;;...............Enzyklopädien und Sachlexika;
5;Ar 120;;...............Bibliographien;
