id,language_code,holdings,author_person,author_corporate,author_uniform,title,publication,physical_description,subject_personal,subject_corporate,subject_meeting,subject_uniform_title,subject_named_event,subject_chronological,subject_topical,subject_geographic
BV000059371,ger,{'a': 'DE-B486'},"Frowein-Ziroff, Vera",,,Die Kaiser-Wilhelm-Gedächtniskirche,Berlin,438 S.,"Schwechten, Franz","Kaiser Wilhelm-Gedächtniskirche (Berlin, Germany)",,,,,Geschichte,Kaiser-Wilhelm-Gedächtniskirche Berlin
BV000059487,lat,{'a': 'DE-M100'},"Cyprianus, Thascius Caecilius",,,A Donat et La vertu de patience,Paris,264 S.,,,,,,,,
BV000059719,ger,{'a': 'DE-Swf2'},"Caplan, Hillier Harris",,,"The classified directory of artists' signatures, symbols & monograms",London,"VIII, 873 S.",,,,,,,Künstlersignatur,
BV000059955,ger,{'a': 'DE-226'},"Schindler, Herbert",,,Nazarener,Regensburg,240 S.,,,,,,Geschichte 1800-1900,Nazarener,Deutschland
BV000061418,ger,{'a': 'DE-20'},"Windstosser, Ludwig",,,Kunst im Detail,Stuttgart,103 Seiten,,,,,,Geschichte 830-1255,Kunst,Württemberg
BV000063374,ger,{'a': 'DE-Y2'},"Raab, Kurt",,,Die Sehnsucht des Rainer Werner Fassbinder,München,360 S.,"Raab, Kurt",,,,,,Autobiografie,
BV000063546,ger,{'a': 'DE-Y2'},Rudolf,,,Weltchronik,Luzern,"[214, 76] Blatt",Karl,,,,,,Ikonographie,
BV000063604,eng,{'a': 'DE-M341'},"Ruda, Jeffrey",,,Filippo Lippi studies,New York u.a.,"184, 90 S.","Lippi, Filippino",,,,,Geschichte 1500-1600,Malerei,Italien
BV000063965,ita,{'a': 'DE-20'},,,,La civiltà bizantina dal XII al XV secolo,Roma,467 S.,,,,,,Geschichte 1100-1452,Kultur,Byzantinisches Reich
BV000064314,ger,{'a': 'DE-Y7'},"Kimpel, Dieter",,,Paris,München,400 S.,,,,,,Geschichte 53v.Chr.-1982-53,Städtebau,Paris
BV000064564,eng,{'a': 'DE-Freis2'},"Stow, Kenneth R.",,,"Taxation, community and state",Stuttgart,"VIII, 187 S.",,,,,,Geschichte 1483-1566,Judentum,Kirchenstaat
BV000065249,ger,{'a': 'DE-Aug3'},,,,Von Odysseus bis Felix Krull,Berlin,395 S.,,,,,,Geschichte 1800-1980,Literarische Gestalt,
BV000065516,ger,{'a': 'DE-739'},,,,Umweltallokation im Raum,Frankfurt am Main ; Bern,"V, 228 Seiten",,,,,,,Allokation,
BV000066137,ger,{'a': 'DE-Y7'},,,,Deutsche Kunst der Romanik,München,"210, 496 S.",,,,,,Geschichte 950-1250,Kunst,Deutschland
BV000066205,ger,{'a': 'DE-Ig2'},"Jetter, Dieter",,,Geschichte des Hospitals,Wiesbaden,"VI, 270 S.","Furttenbach, Joseph",,,,,Geschichte,Krankenhaus,Westdeutschland
BV000066352,lat,{'a': 'DE-Y2'},,,,Acta graduum academicorum Gymnasii Patavini,Padova,"XXVII, 199 S.",,,,,,,,
BV000066979,eng,{'a': 'DE-188'},"Paulson, Ronald",,,"Literary landscape, Turner and Constable",New Haven [u.a.],"XII, 274 S.","Turner, Joseph Mallord William",,,,,Geschichte 1500-2000,Kunstbetrachtung,Großbritannien
